ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
n/a,,,,35.88,2375.01,2000.940339,,,
n/a,,,,35.94,2318.86,1957.309301,,,
n/a,,,,36.35,2355.51,,,,
n/a,,,,36.63,2271.11,,,,
n/a,,,,36.75,2236.01,,,,
n/a,,,,36.35,2302.21,,,,
n/a,,,,35.94,2328.86,,,,
,,,,33.398,8.104850446,2.547171,,,
12/1/14,1:23 PM,1,23.53,36.24,2379.532386,2066.786912,3.49,390.1,8.062
12/1/14,1:32 PM,2,24.78,36.17,2377.043011,2055.362968,3.6,392.6,8.058
12/1/14,1:53 PM,3,25.33,36.14,2379.151871,2048.115782,3.71,385,8.065
12/1/14,5:10 PM,EK_IN,21.33,35.6,2457.77506,2190.349097,3.05,465.9,8.013
12/1/14,5:21 PM,EK_MID,24.71,36.19,2380.798933,2051.12121,3.68,379,8.071
12/1/14,7:18 PM,4,21.04,35.09,2609.396299,2347.652446,3.05,539.1,7.981
12/1/14,7:36 PM,5,22.3,36.1,2412.330686,2107.091005,3.41,395,8.063
12/1/14,9:26 PM,UK_IN,21.61,34.85,2566.106385,2325.965895,2.86,575.3,7.954
12/1/14,9:40 PM,UK_MID,21.98,36.18,2422.679493,2141.743383,3.16,441.8,8.025
12/1/14,9:52 PM,UK_OFF,24.93,35.96,2383.651981,2073.166286,3.5,416.4,8.039
,,,,33.398,16.64151967,6.074704,,,
12/1/14,11:30 PM,7,23.08,36.01,2408.709175,2100.267647,3.48,394.8,8.063
12/1/14,3:20 AM,8B,24.82,35.82,2378.396589,2037.133002,3.84,353.5,8.096
12/2/14,12:12 AM,9,24.92,35.71,2377.877868,2044.146173,3.77,365.5,8.084
12/2/14,12:47 AM,9.5,25.35,35.96,2370.986795,2050.825004,3.63,395.5,8.055
12/2/14,1:46 AM,8,24.82,35.82,2374.139548,2051.17579,3.64,384.4,8.065
12/2/14,2:42 AM,10,22.83,36.04,2406.069248,2099.52445,3.46,393.7,8.063
12/2/14,3:00 AM,11,24.26,36.04,2375.729901,2047.687288,3.66,371.7,8.078
12/2/14,3:31 AM,12,24.88,35.71,2379.336043,2038.462639,3.82,358,8.092
12/2/14,4:58 AM,15.5,25.3,35.99,2376.645865,2038.174183,3.79,369.5,8.079
